iter	Passed	Remaining
0	3	3758
1	6	3409
2	9	3242
3	12	3135
4	15	3056
5	18	3039
6	21	3093
7	25	3120
8	28	3146
9	31	3122
10	34	3103
11	37	3080
12	40	3072
13	43	3061
14	46	3050
15	49	3041
16	52	3037
17	55	3024
18	58	3016
19	61	3002
20	64	2994
21	67	2998
22	70	2992
23	73	2987
24	76	2982
25	79	2979
26	82	2979
27	85	2975
28	88	2967
29	91	2959
30	94	2958
31	97	2954
32	100	2957
33	103	2949
34	106	2945
35	109	2939
36	112	2935
37	115	2928
38	118	2923
39	121	2917
40	124	2913
41	127	2908
42	130	2903
43	133	2897
44	136	2891
45	139	2886
46	142	2881
47	145	2881
48	148	2874
49	151	2869
50	154	2868
51	157	2866
52	160	2863
53	163	2858
54	166	2857
55	169	2852
56	172	2847
57	174	2842
58	177	2838
59	180	2833
60	183	2829
61	186	2825
62	189	2820
63	192	2815
64	195	2812
65	198	2807
66	201	2803
67	204	2798
68	207	2796
69	210	2792
70	213	2788
71	216	2784
72	218	2780
73	222	2779
74	225	2779
75	228	2777
76	231	2773
77	234	2769
78	237	2768
79	240	2769
80	243	2765
81	246	2761
82	249	2761
83	253	2759
84	255	2755
85	258	2750
86	261	2746
87	264	2741
88	267	2737
89	270	2732
90	273	2728
91	276	2724
92	279	2722
93	281	2717
94	284	2712
95	287	2708
96	290	2705
97	293	2700
98	296	2696
99	299	2692
100	302	2688
101	304	2683
102	307	2680
103	310	2676
104	313	2673
105	316	2669
106	319	2665
107	322	2662
108	325	2658
109	328	2654
110	330	2650
111	333	2646
112	336	2643
113	339	2640
114	342	2636
115	345	2632
116	348	2628
117	351	2625
118	354	2621
119	356	2617
120	359	2613
121	362	2611
122	365	2607
123	368	2604
124	371	2601
125	374	2596
126	377	2594
127	380	2591
128	383	2587
129	386	2584
130	389	2580
131	392	2578
132	394	2573
133	397	2570
134	400	2566
135	403	2563
136	406	2559
137	409	2555
138	412	2552
139	414	2548
140	417	2545
141	420	2541
142	424	2542
143	426	2535
144	430	2535
145	433	2533
146	436	2531
147	439	2528
148	442	2524
149	445	2521
150	447	2518
151	450	2511
152	453	2508
153	455	2504
154	458	2501
155	461	2497
156	464	2494
157	467	2491
158	470	2489
159	473	2487
160	476	2485
161	479	2481
162	482	2478
163	484	2471
164	487	2468
165	490	2465
166	493	2461
167	496	2457
168	498	2451
169	501	2448
170	504	2445
171	506	2438
172	508	2432
173	511	2429
174	514	2423
175	516	2417
176	519	2415
177	521	2409
178	524	2405
179	527	2403
180	529	2396
181	532	2394
182	534	2387
183	537	2385
184	540	2379
185	542	2374
186	544	2368
187	547	2362
188	549	2357
189	551	2351
190	553	2346
191	556	2342
192	559	2337
193	561	2332
194	563	2327
195	565	2321
196	568	2316
197	570	2310
198	572	2305
199	575	2300
200	577	2295
201	580	2293
202	582	2288
203	585	2285
204	588	2281
205	590	2276
206	592	2270
207	595	2266
208	598	2265
209	601	2262
210	603	2256
211	605	2252
212	608	2247
213	610	2242
214	612	2237
215	615	2234
216	617	2229
217	620	2224
218	622	2219
219	625	2217
220	628	2213
221	630	2210
222	633	2207
223	636	2203
224	638	2199
225	640	2194
226	643	2191
227	645	2187
228	648	2182
229	650	2178
230	653	2176
231	656	2172
232	658	2167
233	660	2163
234	663	2159
235	665	2154
236	667	2150
237	670	2145
238	672	2141
239	674	2136
240	677	2132
241	679	2127
242	681	2123
243	684	2119
244	686	2116
245	689	2112
246	691	2108
247	693	2104
248	696	2099
249	699	2097
250	701	2092
251	703	2088
252	706	2084
253	708	2080
254	711	2077
255	713	2072
256	715	2068
257	717	2064
258	720	2060
259	722	2056
260	724	2052
261	727	2047
262	729	2043
263	731	2039
264	734	2036
265	736	2032
266	738	2028
267	741	2026
268	744	2022
269	746	2017
270	748	2013
271	750	2009
272	753	2005
273	756	2004
274	758	1999
275	760	1996
276	763	1992
277	765	1988
278	767	1984
279	770	1980
280	772	1976
281	774	1972
282	777	1969
283	779	1965
284	782	1961
285	784	1958
286	786	1954
287	789	1950
288	791	1946
289	793	1943
290	796	1940
291	799	1937
292	801	1934
293	804	1931
294	806	1928
295	809	1925
296	812	1922
297	814	1918
298	816	1915
299	819	1911
300	821	1907
301	823	1903
302	826	1900
303	828	1896
304	830	1892
305	832	1889
306	835	1885
307	837	1882
308	840	1879
309	842	1876
310	845	1872
311	847	1869
312	850	1865
313	852	1863
314	855	1860
315	858	1857
316	860	1854
317	862	1850
318	865	1847
319	867	1844
320	870	1840
321	873	1838
322	875	1834
323	877	1830
324	879	1827
325	882	1823
326	884	1820
327	886	1816
328	889	1813
329	891	1809
330	893	1806
331	896	1802
332	898	1799
333	900	1796
334	903	1793
335	905	1789
336	907	1785
337	910	1782
338	912	1778
339	914	1775
340	917	1772
341	919	1769
342	921	1765
343	924	1762
344	926	1758
345	928	1755
346	931	1752
347	934	1749
348	936	1746
349	938	1743
350	941	1740
351	943	1737
352	945	1733
353	948	1730
354	950	1727
355	953	1724
356	955	1721
357	957	1717
358	960	1715
359	963	1712
360	965	1709
361	967	1705
362	969	1702
363	972	1698
364	974	1695
365	976	1691
366	979	1688
367	981	1685
368	983	1682
369	985	1678
370	988	1675
371	990	1672
372	993	1669
373	995	1666
374	997	1662
375	1000	1659
376	1002	1656
377	1004	1653
378	1006	1649
379	1009	1646
380	1011	1643
381	1013	1640
382	1016	1637
383	1018	1633
384	1020	1630
385	1023	1627
386	1025	1624
387	1027	1620
388	1029	1617
389	1032	1614
390	1034	1610
391	1036	1607
392	1039	1605
393	1041	1602
394	1044	1599
395	1046	1596
396	1048	1592
397	1051	1589
398	1053	1586
399	1055	1583
400	1058	1580
401	1060	1577
402	1062	1574
403	1064	1571
404	1067	1568
405	1069	1564
406	1071	1561
407	1074	1558
408	1076	1555
409	1078	1552
410	1081	1549
411	1083	1546
412	1085	1543
413	1088	1540
414	1090	1536
415	1092	1533
416	1094	1530
417	1097	1527
418	1099	1525
419	1102	1521
420	1104	1518
421	1106	1515
422	1108	1512
423	1111	1509
424	1113	1506
425	1115	1503
426	1118	1500
427	1120	1497
428	1122	1494
429	1124	1491
430	1127	1488
431	1129	1485
432	1132	1482
433	1134	1479
434	1136	1476
435	1139	1473
436	1141	1470
437	1143	1467
438	1146	1464
439	1148	1461
440	1150	1458
441	1153	1455
442	1155	1452
443	1157	1449
444	1159	1446
445	1162	1443
446	1164	1440
447	1166	1437
448	1169	1435
449	1171	1432
450	1174	1429
451	1176	1426
452	1178	1423
453	1181	1420
454	1183	1417
455	1185	1414
456	1188	1411
457	1190	1408
458	1192	1405
459	1195	1403
460	1197	1400
461	1199	1397
462	1202	1394
463	1204	1391
464	1207	1388
465	1209	1385
466	1211	1382
467	1214	1380
468	1216	1377
469	1218	1374
470	1221	1371
471	1223	1368
472	1225	1365
473	1227	1362
474	1230	1359
475	1232	1356
476	1234	1353
477	1237	1351
478	1239	1348
479	1242	1345
480	1245	1343
481	1247	1340
482	1249	1337
483	1252	1334
484	1254	1332
485	1256	1329
486	1259	1326
487	1261	1324
488	1264	1321
489	1266	1318
490	1269	1315
491	1271	1312
492	1273	1309
493	1276	1307
494	1278	1304
495	1280	1301
496	1283	1298
497	1285	1295
498	1287	1293
499	1290	1290
500	1292	1287
501	1294	1284
502	1297	1281
503	1299	1279
504	1302	1276
505	1304	1273
506	1306	1270
507	1309	1267
508	1311	1265
509	1313	1262
510	1316	1259
511	1318	1256
512	1320	1253
513	1323	1250
514	1325	1248
515	1327	1245
516	1330	1242
517	1332	1239
518	1334	1236
519	1337	1234
520	1339	1231
521	1341	1228
522	1344	1225
523	1346	1223
524	1349	1220
525	1351	1217
526	1353	1215
527	1356	1212
528	1358	1209
529	1360	1206
530	1363	1204
531	1365	1201
532	1368	1198
533	1370	1195
534	1372	1193
535	1374	1190
536	1377	1187
537	1379	1184
538	1382	1182
539	1384	1179
540	1386	1176
541	1388	1173
542	1391	1170
543	1393	1168
544	1395	1165
545	1398	1162
546	1400	1159
547	1402	1156
548	1404	1154
549	1407	1151
550	1409	1148
551	1411	1145
552	1413	1142
553	1416	1140
554	1418	1137
555	1420	1134
556	1423	1131
557	1425	1129
558	1427	1126
559	1429	1123
560	1432	1120
561	1434	1118
562	1436	1115
563	1439	1112
564	1441	1110
565	1444	1107
566	1446	1104
567	1449	1102
568	1451	1099
569	1453	1096
570	1456	1093
571	1458	1091
572	1460	1088
573	1462	1085
574	1465	1082
575	1467	1080
576	1469	1077
577	1472	1074
578	1474	1072
579	1477	1069
580	1479	1066
581	1481	1064
582	1483	1061
583	1486	1058
584	1488	1055
585	1490	1053
586	1492	1050
587	1495	1047
588	1497	1044
589	1499	1042
590	1501	1039
591	1504	1036
592	1506	1033
593	1508	1031
594	1510	1028
595	1513	1025
596	1515	1023
597	1517	1020
598	1520	1017
599	1522	1014
600	1524	1012
601	1526	1009
602	1528	1006
603	1531	1003
604	1533	1001
605	1535	998
606	1537	995
607	1540	992
608	1542	990
609	1544	987
610	1546	984
611	1549	982
612	1551	979
613	1553	976
614	1555	973
615	1558	971
616	1560	968
617	1562	966
618	1565	963
619	1567	960
620	1569	958
621	1571	955
622	1574	952
623	1576	949
624	1578	947
625	1580	944
626	1583	941
627	1585	939
628	1587	936
629	1590	933
630	1592	931
631	1594	928
632	1596	925
633	1599	923
634	1601	920
635	1603	917
636	1606	915
637	1608	912
638	1610	910
639	1613	907
640	1615	904
641	1617	902
642	1619	899
643	1622	896
644	1624	894
645	1626	891
646	1629	888
647	1631	886
648	1633	883
649	1636	880
650	1638	878
651	1641	876
652	1643	873
653	1646	870
654	1648	868
655	1650	865
656	1653	863
657	1655	860
658	1657	857
659	1660	855
660	1662	852
661	1664	849
662	1666	847
663	1669	844
664	1671	842
665	1673	839
666	1676	836
667	1678	834
668	1680	831
669	1682	828
670	1684	826
671	1687	823
672	1689	820
673	1691	818
674	1693	815
675	1696	812
676	1698	810
677	1700	807
678	1702	804
679	1704	802
680	1707	799
681	1709	797
682	1711	794
683	1713	791
684	1715	789
685	1718	786
686	1720	783
687	1722	781
688	1724	778
689	1727	775
690	1729	773
691	1731	770
692	1733	768
693	1736	765
694	1738	762
695	1740	760
696	1742	757
697	1745	755
698	1747	752
699	1749	749
700	1751	747
701	1754	744
702	1756	742
703	1758	739
704	1761	736
705	1763	734
706	1765	731
707	1768	729
708	1770	726
709	1772	723
710	1774	721
711	1776	718
712	1779	716
713	1781	713
714	1783	710
715	1785	708
716	1787	705
717	1790	703
718	1792	700
719	1795	698
720	1797	695
721	1800	693
722	1802	690
723	1804	688
724	1807	685
725	1809	682
726	1811	680
727	1813	677
728	1816	675
729	1818	672
730	1820	669
731	1822	667
732	1825	664
733	1827	662
734	1829	659
735	1831	657
736	1834	654
737	1836	651
738	1838	649
739	1841	646
740	1843	644
741	1846	642
742	1849	639
743	1851	637
744	1853	634
745	1856	632
746	1858	629
747	1861	626
748	1863	624
749	1865	621
750	1867	619
751	1870	616
752	1872	614
753	1874	611
754	1876	609
755	1879	606
756	1881	603
757	1883	601
758	1885	598
759	1887	596
760	1890	593
761	1892	591
762	1894	588
763	1897	586
764	1899	583
765	1901	581
766	1904	578
767	1906	575
768	1908	573
769	1910	570
770	1913	568
771	1915	565
772	1917	563
773	1920	560
774	1922	558
775	1925	555
776	1927	553
777	1929	550
778	1932	548
779	1934	545
780	1937	543
781	1939	540
782	1941	538
783	1944	535
784	1946	533
785	1948	530
786	1950	527
787	1952	525
788	1955	522
789	1957	520
790	1959	517
791	1961	515
792	1964	512
793	1966	510
794	1968	507
795	1970	505
796	1973	502
797	1975	500
798	1977	497
799	1979	494
800	1982	492
